GEOID,population
37111,45198
37113,39232
37115,22553
37117,21601
37119,1233383
37121,15062
37123,26403
37125,110619
37127,99365
37129,245959
37131,16491
37133,217175
37135,152498
37137,12758
37139,42201
37141,72111
37143,13490
37145,40636
37147,182936
37149,20533
37151,149516
37153,42041
37155,119941
37157,94195
37159,155096
37161,65745
37163,61504
37165,33322
37167,68830
37169,46126
37171,72287
37173,14024
37175,34211
37177,3537
37179,267674
37181,42638
37183,1257235
37185,18898
37187,10638
37189,54786
37191,122278
37193,66233
37195,81150
37197,38325
37199,19084
38001,2275
38003,10573
38005,5759
38007,1071
38009,6284
38011,2762
38013,2132
38015,103251
38017,201794
38019,3497
38021,4895
38023,2110
38025,4058
38027,2329
38029,3215
38031,3212
38033,1808
38035,74501
38037,2206
38039,2239
38041,2492
38043,2393
38045,4135
38047,1859
38049,5130
38051,2451
38053,15192
38055,9740
38057,8441
38059,34601
38061,9395
38063,2963
38065,1898
38067,6568
38069,3838
38071,11530
38073,5617
38075,2331
38077,16731
38079,11688
38081,3711
38083,1296
38085,3667
38087,628
38089,34013
38091,1797
38093,21414
38095,2040
38097,7920
38099,10179
38101,68233
38103,3729
38105,41767
39001,27865
39003,100881
39005,52523
39007,96713
39009,63197
39011,45909
39013,64434
39015,44397
39017,400128
39019,26475
39021,38820
39023,135340
39025,216977
39027,42301
39029,99377
39031,37188
39033,41896
39035,1232925
39037,51520
39039,38292
39041,242032
39043,73296
39045,169752
39047,28552
39049,1361536
39051,41853
39053,29072
39055,95676
39057,174322
39059,38379
39061,838418
39063,75034
39065,30072
39067,14070
39069,27598
39071,43823
39073,27512
39075,44970
39077,58250
39079,32817
39081,63597
39083,64002
39085,232217
39087,55710
39089,185564
39091,46302
39093,323219
39095,423347
39097,46985
39099,224706
39101,65115
39103,185025
39105,21587
39107,42737
39109,112634
39111,12994
39113,539598
39115,13626
39117,36305
39119,87014
39121,14276
39123,39481
39125,18727
39127,35918
39129,62978
39131,27061
39133,163404
39135,40664
39137,34380
39139,124893
39141,76429
39143,58655
39145,71365
39147,54522
39149,48065
39151,373771
39153,538376
39155,198972
39157,92373
39159,73446
39161,29013
39163,12645
39165,257181
39167,58389
39169,116758
39171,36549
39173,134176
39175,21567
40001,19828
40003,5649
40005,14609
40007,4882
40009,22159
40011,8515
40013,51367
40015,26130
40017,187189
40019,48910
40021,49196
40023,14059
40025,2059
40027,303973
40029,5436
40031,122158
40033,5432
40035,14518
40037,74967
40039,28175
40041,41910
40043,4207
40045,3613
40047,61779
40049,26377
40051,59128
40053,4067
40055,5373
40057,2327
40059,3172
40061,11787
40063,13455
40065,24764
40067,5431
40069,10448
40071,43490
40073,15795
40075,8181
40077,9645
40079,50196
40081,35278
40083,55473
40085,10780
40087,49647
40089,30744
40091,19758
40093,7536
40095,16255
40097,40416
40099,13805
40101,66708
40103,10899
40105,9522
40107,11451
40109,822125
40111,37241
40113,46794
40115,30438
40117,16029
40119,83889
40121,43320
40123,38528
40125,75102
40127,10807
40129,3259
40131,102197
40133,23441
40135,40842
40137,44310
40139,20322
40141,6780
40143,698782
40145,93263
40147,54037
40149,10884
40151,8443
40153,19827
41001,16658
41003,97728
41005,426280
41007,40926
41009,54091
41011,63992
41013,27564
41015,22621
41017,213072
41019,111951
41021,1971
41023,7075
41025,7380
41027,23720
41029,221795
41031,25740
41033,87867
41035,70274
41037,8187
41039,381584
41041,50636
41043,132843
41045,32261
41047,355777
41049,12602
41051,795391
41053,90037
41055,2051
41057,27384
41059,81119
41061,25900
41063,7595
41065,26310
41067,611708
41069,1472
41071,110024
42001,107594
42003,1225035
42005,63698
42007,166032
42009,47480
42011,440072
42013,119541
42015,59600
42017,647828
42019,200169
42021,128968
42023,4211
42025,65868
42027,157393
42029,557116
42031,36680
42033,78100
42035,37870
42037,66193
42039,81792
42041,277270
42043,293351
42045,580937
42047,29926
42049,265832
42051,123021
42053,6614
42055,160652
42057,14483
42059,33885
42061,43001
42063,82878
42065,43255
42067,23403
42069,216502
42071,563159
42073,83911
42075,146380
42077,384383
42079,332126
42081,112587
42083,38984
42085,107860
42087,46127
42089,167179
42091,877643
42093,17868
42095,324411
42097,89920
42099,46806
42101,1574281
42103,62808
42105,15897
42107,145085
42109,39655
42111,72004
42113,5856
42115,38237
42117,40502
42119,42313
42121,49346
42123,37038
42125,210802
42127,51703
42129,349324
42131,25790
42133,473197
44001,50001
44003,173495
44005,83051
44007,678179
44009,129795
45001,24836
45003,181515
45005,7355
45007,219930
45009,12796
45011,20653
45013,204433
45015,274666
